,Area,Borough,Latitude,Longitude
190,Peckham,Southwark,51.4734122,-0.0699321
191,Penge,Bromley,51.4146841,-0.0534213
192,Pentonville,Islington,51.5318579,-0.1084232
193,Pimlico,Westminster,51.4891886,-0.1335498
194,Plaistow,Newham,51.5311544,0.0166833
195,Plumstead,Greenwich,51.4804635,0.0924286
196,Poplar,Tower Hamlets,51.5110713,-0.0144629
197,Primrose Hill,Camden,51.5390165,-0.16193786284392453
198,Putney,Wandsworth,51.4609339,-0.2153478
199,Queen's Park,Brent,51.533873,-0.2054958
200,Ratcliff,Tower Hamlets,51.50966675,-0.04236020307928713
201,Raynes Park,Merton,51.408966,-0.23054
202,Roehampton,Wandsworth,51.4498773,-0.2412672
203,Rotherhithe,Southwark,51.5007782,-0.0519063
204,Sands End,Hammersmith and Fulham,51.4725454,-0.1871122
205,Selhurst,Croydon,51.3922136,-0.0886537
206,Seven Sisters,Haringey,51.5824738,-0.0749325
207,Shacklewell,Hackney,51.5523761,-0.0701582
208,Shadwell,Tower Hamlets,51.51125,-0.0569241
209,Shepherd's Bush,Hammersmith and Fulham,51.5043576,-0.2183251
210,Shooter's Hill,Greenwich,51.4692255,0.066306
211,Shoreditch,Hackney,51.5266694,-0.0798926
212,Silvertown,Newham,51.5013626,0.0385185
213,Snaresbrook,Redbridge,51.5831734,0.0228777
214,Soho,Westminster,51.513075099999995,-0.13497437226805903
215,South Hackney,Hackney,51.5432402,-0.0493621
216,South Kensington,Kensington and Chelsea,51.4940494,-0.1730439
217,South Norwood,Croydon,51.3980951,-0.0768216
218,South Wimbledon,Merton,51.4151759,-0.1926457
219,South Woodford,Redbridge,51.5917798,0.0274276
220,South Tottenham,Haringey,51.5804433,-0.0717169
221,Southend,Lewisham,51.4203458,-0.0218651
222,Southfields,Wandsworth,51.4457751,-0.2066142
223,Southgate,Enfield,51.6281547,-0.123596
224,Spitalfields,Tower Hamlets,51.5195274,-0.0751701
225,St James's,Westminster,51.5079082,-0.1365727
226,St Giles,Camden,51.5160098,-0.1219057
227,St Johns,Lewisham,51.4690905,-0.0221846
228,St John's Wood,Westminster,51.531726,-0.1741901
229,St Luke's,Islington,51.5268671,-0.0959005
230,St Pancras,Camden,51.5322906,-0.1259994
231,Stamford Hill,Hackney,51.5744324,-0.0766481
232,Stepney,Tower Hamlets,51.5174023,-0.0462189
233,Stockwell,Lambeth,51.472211,-0.1225014
234,Stoke Newington,Hackney,51.5576971,-0.0772816
235,Stonebridge,Brent,51.5441099,-0.2762285
236,Stratford,Newham,51.541289,-0.0035472
237,Streatham,Lambeth,51.429769,-0.1311105
238,Stroud Green,Haringey,51.5716864,-0.1114972
239,Surrey Quays,Southwark,51.4934207,-0.0478319
240,Swiss Cottage,Camden,51.543722,-0.174982
241,Sydenham ,Lewisham,51.4269433,-0.0545387
242,Sydenham Hill,Lewisham,51.4380517,-0.0636815
243,Temple,City,51.5109659,-0.1143345
244,Tooting,Wandsworth,51.4266588,-0.1690768
245,Tooting Bec,Wandsworth,51.4356086,-0.1596548
246,Tottenham,Haringey,51.5881223,-0.0599366
247,Tottenham Green,Haringey,51.58775405,-0.07147608181567411
248,Tottenham Hale,Haringey,51.5881223,-0.0599366
249,Totteridge,Barnet,51.6331335,-0.2008636
250,Tower Hill,Tower Hamlets,51.5098481,-0.0766986
251,Tufnell Park,Islington,51.5568005,-0.138457
252,Tulse Hill,Lambeth,51.439867,-0.1050481
253,Turnpike Lane,Haringey,51.5888928,-0.1099938
254,Upper Clapton,Hackney,51.5668384,-0.0605697
255,Upper Holloway,Islington,51.563474,-0.1296473
256,Upper Norwood,Croydon,51.4164053,-0.0940347
257,Upper Walthamstow,Waltham Forest,51.5879893,0.0020978
258,Upton Park,Newham,51.5351062,0.0339842
259,Vauxhall,Lambeth,51.4858478,-0.1227502
260,Walthamstow,Waltham Forest,51.5844701,-0.0188186
261,Walthamstow Village,Waltham Forest,51.5836835,-0.0121451
262,Walworth,Southwark,51.4901142,-0.0906603
263,Wandsworth,Wandsworth,51.4570271,-0.1932607
264,Wanstead,Redbridge,51.575646,0.0286373
265,Wapping,Tower Hamlets,51.5054363,-0.0587291
266,Well Hall,Greenwich,51.4574683,0.0501437
267,West Brompton,Kensington and Chelsea,51.4869765,-0.1951854
268,West Ealing,Ealing,51.5135091,-0.3207704
269,West Green,Haringey,51.5868063,-0.0898489
270,West Hackney,Hackney,51.5608595,-0.0691322
271,West Ham,Newham,51.5280966,0.0045685
272,West Hampstead,Camden,51.5468194,-0.1899646
273,West Heath,Bexley,51.4808745,0.1273574
274,West Hendon,Barnet,51.578213,-0.2403793
275,West Kensington,Hammersmith and Fulham,51.4906622,-0.205916
276,West Norwood,Lambeth,51.4346192,-0.1036917
277,Westcombe Park,Greenwich,51.4842204,0.0188787
278,Westminster,Westminster,51.5013562,-0.1249302
279,Whetstone,Barnet,51.6301762,-0.1748844
